Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2020-03-01,DC United,Colorado Rapids,1,2,A,2.06,3.42,2020
2020-03-01,CF Montreal,New England Revolution,2,1,H,2.78,2.48,2020
2020-03-01,Houston Dynamo,Los Angeles Galaxy,1,1,D,2.10,3.16,2020
2020-03-01,San Jose Earthquakes,Toronto FC,2,2,D,1.90,3.69,2020
2020-03-01,Orlando City,Real Salt Lake,0,0,D,1.99,3.71,2020
2020-03-01,FC Dallas,Philadelphia Union,2,0,H,1.90,3.81,2020
2020-03-01,Nashville SC,Atlanta Utd,1,2,A,3.44,2.04,2020
2020-03-01,Vancouver Whitecaps,Sporting Kansas City,1,3,A,3.17,2.17,2020
2020-03-02,Columbus Crew,New York City,1,0,H,2.23,3.07,2020
2020-03-02,New York Red Bulls,FC Cincinnati,3,2,H,1.57,5.55,2020
2020-03-02,Seattle Sounders,Chicago Fire,2,1,H,2.03,3.57,2020
2020-03-02,Los Angeles FC,Inter Miami,1,0,H,1.30,8.44,2020
2020-03-02,Portland Timbers,Minnesota United,1,3,A,1.80,4.03,2020
2020-03-08,New England Revolution,Chicago Fire,1,1,D,1.99,3.43,2020
2020-03-08,Real Salt Lake,New York Red Bulls,1,1,D,2.36,2.88,2020
2020-03-08,FC Dallas,CF Montreal,2,2,D,1.54,5.84,2020
2020-03-08,DC United,Inter Miami,2,1,H,2.26,3.02,2020
2020-03-08,Toronto FC,New York City,1,0,H,1.88,3.84,2020
2020-03-08,Atlanta Utd,FC Cincinnati,2,1,H,1.56,5.80,2020
2020-03-08,San Jose Earthquakes,Minnesota United,2,5,A,1.88,3.74,2020
2020-03-08,Sporting Kansas City,Houston Dynamo,4,0,H,1.63,5.03,2020
2020-03-08,Colorado Rapids,Orlando City,2,1,H,1.63,5.08,2020
2020-03-08,Seattle Sounders,Columbus Crew,1,1,D,1.92,3.86,2020
2020-03-08,Los Angeles Galaxy,Vancouver Whitecaps,0,1,A,1.42,6.94,2020
2020-03-09,Portland Timbers,Nashville SC,1,0,H,1.59,5.27,2020
2020-03-09,Los Angeles FC,Philadelphia Union,3,3,D,1.36,7.34,2020
2020-08-13,FC Dallas,Nashville SC,0,1,A,1.59,5.71,2020
2020-08-17,FC Dallas,Nashville SC,0,0,D,1.82,4.47,2020
2020-08-19,Toronto FC,Vancouver Whitecaps,3,0,H,1.30,8.59,2020
2020-08-21,New York Red Bulls,New York City,1,0,H,2.68,2.48,2020
2020-08-21,New England Revolution,Philadelphia Union,0,0,D,2.17,3.11,2020
2020-08-21,Columbus Crew,Chicago Fire,3,0,H,1.80,4.43,2020
2020-08-22,Minnesota United,Sporting Kansas City,1,2,A,2.59,2.50,2020
2020-08-22,FC Cincinnati,DC United,0,0,D,2.63,2.70,2020
2020-08-22,Toronto FC,Vancouver Whitecaps,1,0,H,1.23,10.75,2020
2020-08-22,Houston Dynamo,FC Dallas,0,0,D,2.63,2.61,2020
2020-08-23,Los Angeles FC,Los Angeles Galaxy,0,2,A,1.36,6.97,2020
2020-08-23,Atlanta Utd,Nashville SC,2,0,H,2.01,3.65,2020
2020-08-23,Inter Miami,Orlando City,3,2,H,2.71,2.50,2020
2020-08-23,Colorado Rapids,Real Salt Lake,1,4,A,2.09,3.42,2020
2020-08-24,Portland Timbers,Seattle Sounders,0,3,A,2.18,3.08,2020
2020-08-25,New York City,Columbus Crew,1,0,H,2.41,2.81,2020
2020-08-26,DC United,New England Revolution,1,2,A,2.99,2.36,2020
2020-08-26,Philadelphia Union,New York Red Bulls,1,0,H,2.35,2.91,2020
2020-08-26,Chicago Fire,FC Cincinnati,3,0,H,1.74,4.63,2020
2020-08-26,CF Montreal,Vancouver Whitecaps,2,0,H,1.67,4.90,2020
2020-08-26,Sporting Kansas City,Houston Dynamo,2,5,A,1.59,5.24,2020
2020-08-27,Orlando City,Nashville SC,3,1,H,1.92,3.83,2020
2020-08-29,CF Montreal,Toronto FC,0,1,A,4.13,1.79,2020
2020-08-30,Atlanta Utd,Orlando City,1,3,A,2.22,3.10,2020
2020-08-30,Philadelphia Union,DC United,4,1,H,1.85,4.07,2020
2020-08-30,New York City,Chicago Fire,3,1,H,2.06,3.37,2020
2020-08-30,FC Cincinnati,Columbus Crew,0,0,D,4.80,1.73,2020
2020-08-30,New England Revolution,New York Red Bulls,1,1,D,1.84,4.04,2020
2020-08-30,FC Dallas,Minnesota United,3,1,H,2.32,2.85,2020
2020-08-30,Colorado Rapids,Sporting Kansas City,1,1,D,2.86,2.27,2020
2020-08-30,Portland Timbers,Real Salt Lake,4,4,D,1.80,4.26,2020
2020-08-30,Los Angeles Galaxy,San Jose Earthquakes,3,2,H,2.13,3.02,2020
2020-08-31,Nashville SC,Inter Miami,1,0,H,2.25,3.25,2020
2020-08-31,Seattle Sounders,Los Angeles FC,3,1,H,2.51,2.49,2020
2020-09-02,Toronto FC,CF Montreal,0,1,A,1.43,6.83,2020
2020-09-03,Atlanta Utd,Inter Miami,0,0,D,2.19,3.15,2020
2020-09-03,New York Red Bulls,DC United,0,1,A,1.67,4.92,2020
2020-09-03,FC Cincinnati,Chicago Fire,0,0,D,3.12,2.27,2020
2020-09-03,Columbus Crew,Philadelphia Union,1,0,H,1.74,4.50,2020
2020-09-03,New England Revolution,New York City,0,2,A,2.68,2.51,2020
2020-09-03,Houston Dynamo,Minnesota United,3,0,H,2.13,3.10,2020
2020-09-03,Sporting Kansas City,FC Dallas,1,1,D,2.03,3.48,2020
2020-09-03,Nashville SC,Orlando City,1,1,D,2.59,2.67,2020
2020-09-03,Real Salt Lake,Seattle Sounders,2,2,D,2.16,3.21,2020
2020-09-03,Portland Timbers,Los Angeles Galaxy,2,3,A,2.58,2.47,2020
2020-09-03,Los Angeles FC,San Jose Earthquakes,5,1,H,1.47,5.76,2020
2020-09-06,Orlando City,Atlanta Utd,1,1,D,1.65,4.87,2020
2020-09-06,Houston Dynamo,Sporting Kansas City,2,1,H,2.31,2.87,2020
2020-09-06,Vancouver Whitecaps,Toronto FC,3,2,H,5.42,1.57,2020
2020-09-06,San Jose Earthquakes,Colorado Rapids,1,1,D,2.35,2.75,2020
2020-09-07,New York Red Bulls,Philadelphia Union,0,3,A,2.30,2.89,2020
2020-09-07,DC United,New York City,0,0,D,4.36,1.75,2020
2020-09-07,Columbus Crew,FC Cincinnati,3,0,H,1.59,6.13,2020
2020-09-07,Chicago Fire,New England Revolution,1,2,A,2.37,2.87,2020
2020-09-07,Minnesota United,Real Salt Lake,4,0,H,1.65,4.74,2020
2020-09-07,Inter Miami,Nashville SC,0,0,D,1.94,4.09,2020
2020-09-07,Seattle Sounders,Portland Timbers,1,2,A,1.95,3.53,2020
2020-09-07,Los Angeles Galaxy,Los Angeles FC,3,0,H,3.53,1.80,2020
2020-09-10,Minnesota United,FC Dallas,3,2,H,1.73,4.35,2020
2020-09-10,Inter Miami,Atlanta Utd,2,1,H,1.86,4.15,2020
2020-09-10,CF Montreal,Toronto FC,1,2,A,3.93,1.83,2020
2020-09-10,Colorado Rapids,Houston Dynamo,1,1,D,2.15,3.17,2020
2020-09-10,Real Salt Lake,Los Angeles FC,3,0,H,2.52,2.52,2020
2020-09-11,Seattle Sounders,San Jose Earthquakes,7,1,H,1.55,5.25,2020
2020-09-13,Chicago Fire,Columbus Crew,2,2,D,2.74,2.59,2020
2020-09-13,New York City,FC Cincinnati,2,1,H,1.41,7.45,2020
2020-09-13,DC United,New York Red Bulls,0,2,A,3.60,2.02,2020
2020-09-13,Philadelphia Union,New England Revolution,2,1,H,2.23,3.09,2020
2020-09-13,Orlando City,Inter Miami,2,1,H,2.08,3.39,2020
2020-09-13,Nashville SC,Atlanta Utd,4,2,H,2.05,3.61,2020
2020-09-13,FC Dallas,Houston Dynamo,2,1,H,2.37,2.82,2020
2020-09-13,Real Salt Lake,Colorado Rapids,0,5,A,2.26,3.07,2020
2020-09-14,Sporting Kansas City,Minnesota United,1,0,H,1.49,5.77,2020
2020-09-14,Vancouver Whitecaps,CF Montreal,2,4,A,3.09,2.23,2020
2020-09-14,San Jose Earthquakes,Los Angeles Galaxy,0,0,D,2.88,2.15,2020
2020-09-14,Los Angeles FC,Portland Timbers,4,2,H,1.45,5.90,2020
2020-09-17,FC Dallas,Colorado Rapids,4,1,H,2.22,3.10,2020
2020-09-17,Vancouver Whitecaps,CF Montreal,3,1,H,3.46,2.01,2020
2020-09-17,San Jose Earthquakes,Portland Timbers,1,1,D,2.46,2.58,2020
2020-09-19,Seattle Sounders,Los Angeles FC,3,0,H,2.41,2.55,2020
2020-09-20,Sporting Kansas City,FC Dallas,2,3,A,1.59,5.30,2020
2020-09-20,New England Revolution,New York City,0,0,D,2.76,2.40,2020
2020-09-20,New York Red Bulls,FC Cincinnati,0,1,A,1.73,4.83,2020
